Timestamp,Symbol,Action,Open/Close/Add,Cost basis,Quantity,PnL
2024-06-12 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2854,0.0,-159.375
2024-07-01 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2673,15,
2024-07-01 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2673,0.0,-140.625
2024-07-02 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2672,15,
2024-07-02 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2672,0.0,206.24999999998545
2024-07-03 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2727,5,
2024-07-03 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2727,0.0,81.25
2024-07-08 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2846,8,
2024-07-08 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2846,0.0,-159.99999999999272
2024-07-10 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2816,15,
2024-07-10 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2816,0.0,375.00000000001455
2024-07-12 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2972,5,
2024-07-12 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2972,0.0,56.249999999992724
2024-07-17 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3037,8,
2024-07-17 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3037,0.0,-110.0
2024-08-12 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.277,15,
2024-08-12 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.277,0.0,-28.124999999985448
2024-08-16 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2902,15,
2024-08-16 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2902,0.0,431.24999999998545
2024-08-21 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.305,15,
2024-08-21 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.305,0.0,412.49999999998545
2024-08-22 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3123,11,
2024-08-22 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3123,0.0,-199.375
2024-09-05 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3163,15,
2024-09-05 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3163,0.0,159.37499999998545
2024-09-06 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3211,13,
2024-09-06 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3211,0.0,-674.375
2024-09-16 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3201,5,
2024-09-16 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3201,0.0,59.375
2024-09-18 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3221,15,
2024-09-18 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3221,0.0,-46.875
2024-09-23 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3325,15,
2024-09-23 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3325,0.0,159.37500000001455
2024-09-24 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3384,10,
2024-09-24 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3384,0.0,156.25
2024-09-26 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.337,15,
2024-09-26 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.337,0.0,365.62499999998545
2024-09-27 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3422,15,
2024-09-27 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3422,0.0,-487.50000000001455
2024-10-15 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.3087,15,
2024-10-15 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.3087,0.0,-149.99999999998545
2024-10-25 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2992,11,
2024-10-25 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2992,0.0,-213.12499999998545
2024-10-28 12:00:00+00:00,6B.FUT,MARKET_BUY,Open,1.2987,15,
2024-10-28 20:00:00+00:00,6B.FUT,MARKET_SELL,Close,1.2987,0.0,-159.37500000001455
